setting,description,seed,n_seeds_total,masked,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
full,전체 상태 벡터 (기준),11,8,none,0.7367462392471069,0.8941283867148776,80.51948051948052,65.7243816254417,15.980230642504118,2.6005248787072563,2.2375714778900146,0.5123113393783569
full,전체 상태 벡터 (기준),22,8,none,0.7367108839502146,0.8936148969097898,81.38528138528139,65.27777777777777,16.474464579901152,2.657724128523305,2.209892511367798,0.49062174558639526
full,전체 상태 벡터 (기준),33,8,none,0.735727414237547,0.8941069913063323,80.95238095238095,65.15679442508711,16.474464579901152,2.615592721172495,2.255352258682251,0.5066434741020203
full,전체 상태 벡터 (기준),44,8,none,0.7239124459227918,0.8919531868461028,80.95238095238095,65.38461538461539,16.30971993410214,2.649511698953112,2.2390153408050537,0.49376481771469116
full,전체 상태 벡터 (기준),55,8,none,0.7352703070220441,0.8948059079854797,80.95238095238095,66.07773851590106,15.815485996705107,2.6108922145164772,2.2636709213256836,0.5084151029586792
full,전체 상태 벡터 (기준),66,8,none,0.7378930717169472,0.8952124207478409,81.81818181818181,64.94845360824742,16.803953871499175,2.627651691794617,2.3336117267608643,0.5020838379859924
full,전체 상태 벡터 (기준),77,8,none,0.7354349898339658,0.8940285414749994,80.95238095238095,65.84507042253522,15.980230642504118,2.5925198131013856,2.283113718032837,0.51530921459198
full,전체 상태 벡터 (기준),88,8,none,0.735767372443063,0.8929017166249457,80.95238095238095,66.31205673758865,15.650741350906095,2.632648044056963,2.2269444465637207,0.5001884698867798
drop_rms_energy,rms_energy 제외,11,8,rms_energy,0.7364156934446012,0.8933010975844583,79.65367965367966,66.4259927797834,15.321252059308073,2.591411041540547,2.2322092056274414,0.515723705291748
drop_rms_energy,rms_energy 제외,22,8,rms_energy,0.7346647938818939,0.8929373756391877,80.51948051948052,64.58333333333333,16.803953871499175,2.6699585762096643,2.271425247192383,0.4859212040901184
drop_rms_energy,rms_energy 제외,33,8,rms_energy,0.7356656756283819,0.8946775355342077,80.51948051948052,66.19217081850533,15.650741350906095,2.622579366757587,2.273790121078491,0.5040042996406555
drop_rms_energy,rms_energy 제외,44,8,rms_energy,0.7355784959424303,0.893279702175913,83.11688311688312,67.13286713286713,15.485996705107084,2.5929271817646717,2.2633144855499268,0.5151568651199341
drop_rms_energy,rms_energy 제외,55,8,rms_energy,0.7420806848478912,0.8952195525506892,80.95238095238095,65.84507042253522,15.980230642504118,2.62060351271296,2.2920048236846924,0.5047513842582703
drop_rms_energy,rms_energy 제외,66,8,rms_energy,0.7385652864999568,0.8973376979966766,82.25108225108225,65.51724137931035,16.474464579901152,2.64870467287159,2.2972724437713623,0.49407315254211426
drop_rms_energy,rms_energy 제외,77,8,rms_energy,0.7377270890039787,0.8939429598408182,80.08658008658008,66.7870036101083,15.156507413509061,2.6052915864617305,2.2549219131469727,0.5105218887329102
drop_rms_energy,rms_energy 제외,88,8,rms_energy,0.737306188410349,0.8925165992711298,79.22077922077922,64.66431095406361,16.474464579901152,2.6533289387281567,2.1884899139404297,0.49230509996414185
drop_kurtosis,kurtosis 제외,11,8,kurtosis,0.7319228136782104,0.8926948943423407,80.51948051948052,65.95744680851064,15.815485996705107,2.603334024195594,2.225374221801758,0.5112571716308594
drop_kurtosis,kurtosis 제외,22,8,kurtosis,0.735865106224785,0.8932725703730646,80.51948051948052,63.265306122448976,17.792421746293247,2.65017157305101,2.281477928161621,0.4935126304626465
drop_kurtosis,kurtosis 제외,33,8,kurtosis,0.7170278254197119,0.8916072944079535,82.25108225108225,65.7439446366782,16.30971993410214,2.667174727996478,2.331348419189453,0.4869927167892456
drop_kurtosis,kurtosis 제외,44,8,kurtosis,0.7254876893668859,0.8919888458603451,80.51948051948052,65.49295774647888,16.14497528830313,2.639947567332382,2.2144010066986084,0.4974130392074585
drop_kurtosis,kurtosis 제외,55,8,kurtosis,0.7267764198640723,0.8934223382328819,81.38528138528139,65.50522648083624,16.30971993410214,2.6237740151449875,2.2136707305908203,0.5035523176193237
drop_kurtosis,kurtosis 제외,66,8,kurtosis,0.7387175337812508,0.8949342804367515,81.81818181818181,66.3157894736842,15.815485996705107,2.5981268664388444,2.2560834884643555,0.5132102966308594
drop_kurtosis,kurtosis 제외,77,8,kurtosis,0.73876785510433,0.8949128850282063,82.68398268398268,66.08996539792388,16.14497528830313,2.5835032458468614,2.2472922801971436,0.5186747312545776
drop_kurtosis,kurtosis 제외,88,8,kurtosis,0.7300099403349758,0.8907621757704131,80.51948051948052,64.13793103448276,17.133443163097198,2.6177224594647877,2.2211837768554688,0.5058397054672241
