loss_setting,description,seed,lambda_p,gamma,alpha_mode,pr_auc,roc_auc,recall_fixed,precision_fixed,far_fixed,rmse,mae,r2
full,에너지 가중 + focal (기준),11,0.15,2.0,balanced,0.7367462392471069,0.8941283867148776,80.51948051948052,65.7243816254417,15.980230642504118,2.6005248787072563,2.2375714778900146,0.5123113393783569
full,에너지 가중 + focal (기준),22,0.15,2.0,balanced,0.7367108839502146,0.8936148969097898,81.38528138528139,65.27777777777777,16.474464579901152,2.657724128523305,2.209892511367798,0.49062174558639526
full,에너지 가중 + focal (기준),33,0.15,2.0,balanced,0.735727414237547,0.8941069913063323,80.95238095238095,65.15679442508711,16.474464579901152,2.615592721172495,2.255352258682251,0.5066434741020203
full,에너지 가중 + focal (기준),44,0.15,2.0,balanced,0.7239124459227918,0.8919531868461028,80.95238095238095,65.38461538461539,16.30971993410214,2.649511698953112,2.2390153408050537,0.49376481771469116
full,에너지 가중 + focal (기준),55,0.15,2.0,balanced,0.7352703070220441,0.8948059079854797,80.95238095238095,66.07773851590106,15.815485996705107,2.6108922145164772,2.2636709213256836,0.5084151029586792
full,에너지 가중 + focal (기준),66,0.15,2.0,balanced,0.7378930717169472,0.8952124207478409,81.81818181818181,64.94845360824742,16.803953871499175,2.627651691794617,2.3336117267608643,0.5020838379859924
full,에너지 가중 + focal (기준),77,0.15,2.0,balanced,0.7354349898339658,0.8940285414749994,80.95238095238095,65.84507042253522,15.980230642504118,2.5925198131013856,2.283113718032837,0.51530921459198
full,에너지 가중 + focal (기준),88,0.15,2.0,balanced,0.735767372443063,0.8929017166249457,80.95238095238095,66.31205673758865,15.650741350906095,2.632648044056963,2.2269444465637207,0.5001884698867798
no_physics,에너지 가중항 제외,11,0.0,2.0,balanced,0.7364294003538412,0.8942710227718464,80.51948051948052,65.95744680851064,15.815485996705107,2.6024771334095202,2.2665910720825195,0.5115787982940674
no_physics,에너지 가중항 제외,22,0.0,2.0,balanced,0.7293505953947094,0.8934080746271851,77.4891774891775,64.85507246376811,15.980230642504118,2.6801566110941084,2.296035051345825,0.4819866418838501
