metric,setting,full_mean,setting_mean,delta,p_ttest,p_wilcoxon,effect_dz,effect_label,n_seeds,testable,p_ttest_holm,significant_holm
pr_auc,neither,0.7346828405467101,0.7323482605055773,-0.0023345800411326834,0.20760535698812374,0.1953125,-0.4908580196936981,negligible,8,True,1.0,False
pr_auc,no_focusing,0.7346828405467101,0.7319526217591895,-0.002730218787520486,0.318015917904457,0.3125,-0.3800782851632141,negligible,8,True,1.0,False
pr_auc,no_physics,0.7346828405467101,0.7357127659614875,0.001029925414777505,0.6174187447963775,0.84375,0.18474606701229734,negligible,8,True,1.0,False
pr_auc,plain_bce,0.7346828405467101,0.733015959782007,-0.0016668807647031297,0.21336054381721598,0.1484375,-0.48395096711015706,negligible,8,True,1.0,False
rmse,neither,2.6233831488532013,2.6231611025334307,-0.00022204631977063016,0.988416650194844,0.84375,-0.00531896116210486,negligible,8,True,1.0,False
rmse,no_focusing,2.6233831488532013,2.6281620177327003,0.004778868879498743,0.6187189890902278,0.3828125,0.1840506784789027,negligible,8,True,1.0,False
rmse,no_physics,2.6233831488532013,2.6274711358974674,0.004087987044265939,0.7394019297090868,0.4609375,0.12238201203752734,negligible,8,True,1.0,False
rmse,plain_bce,2.6233831488532013,2.626593247083366,0.003210098230164604,0.8133756073325417,0.7421875,0.08667190727092701,negligible,8,True,1.0,False
r2,neither,0.5036672502756119,0.5037119910120964,4.474073648452759e-05,0.9938682309163482,0.84375,0.002815561141784015,negligible,8,True,1.0,False
r2,no_focusing,0.5036672502756119,0.501812718808651,-0.001854531466960907,0.6096564338447498,0.3828125,-0.18891398856146868,negligible,8,True,1.0,False
r2,no_physics,0.5036672502756119,0.5020813345909119,-0.0015859156847000122,0.7337667660636723,0.4609375,-0.12515553189525613,negligible,8,True,1.0,False
r2,plain_bce,0.5036672502756119,0.5024047866463661,-0.001262463629245758,0.8062794411623195,0.7421875,-0.0900481311442528,negligible,8,True,1.0,False
