setting,description,pr_auc_mean,pr_auc_std,recall_mean,rmse_mean,r2_mean,delta_pr_auc,delta_pr_auc_pct,delta_recall,delta_rmse,n_seeds
drop_inter_segment,세그먼트 간 이력 제외 (스펙트로그램에 없는 정보),0.5928971896648764,0.009583259546622735,53.78787878787879,2.975954642604605,0.3612660989165306,-0.1417856508818337,-19.29889240047103,-27.272727272727273,0.3525714937514035,8
drop_all,상태 입력 전체 제외,0.5941740195142938,0.008633608647598143,53.84199134199134,2.9973438422081786,0.35201890021562576,-0.14050882103241624,-19.125099060141025,-27.218614718614724,0.3739606933549773,8
drop_cumulative_energy,cumulative_energy 제외,0.6825914936352493,0.010192886147687263,61.85064935064935,2.752099345794663,0.4535856768488884,-0.05209134691146078,-7.090317622322211,-19.209956709956714,0.12871619694146164,8
drop_intra_segment,세그먼트 내 통계 제외 (스펙트로그램에서 복원 가능),0.7302422985438923,0.006366602535619422,82.95454545454545,2.6381714951435087,0.4980250224471092,-0.004440542002817738,-0.6044161858351467,1.893939393939391,0.014788346290307341,8
drop_kurtosis,kurtosis 제외,0.7305718979717778,0.007439092223806654,81.27705627705627,2.6229693099338682,0.5038065761327744,-0.004110942574932275,-0.55955336752838,0.21645021645021245,-0.00041383891933310935,8
full,전체 상태 벡터 (기준),0.7346828405467101,0.004437755993490779,81.06060606060606,2.6233831488532013,0.5036672502756119,0.0,0.0,0.0,0.0,8
drop_peak_amplitude,peak_amplitude 제외,0.7347977776191192,0.00573917342696619,81.27705627705627,2.636515102240542,0.49862033128738403,0.00011493707240917139,0.015644447653580914,0.21645021645021245,0.013131953387340634,8
drop_crest_factor,crest_factor 제외,0.7367838907754979,0.004119733181346823,81.87229437229438,2.6166543473653383,0.5062209293246269,0.0021010502287878152,0.2859805773092959,0.8116883116883145,-0.006728801487863034,8
drop_rms_energy,rms_energy 제외,0.7372504884574353,0.0023293049684865465,80.79004329004329,2.6256006096308635,0.5028071999549866,0.002567647910725279,0.34949066032556014,-0.2705627705627762,0.0022174607776621613,8
drop_energy_trend_slope,energy_trend_slope 제외,0.7429727602652989,0.003661335825752403,81.33116883116884,2.6293085613423064,0.5014379099011421,0.008289919718588834,1.1283671349149706,0.2705627705627762,0.005925412489105053,8
