seed,cycle,n,rmse,mae,r2,bias
11,13,219,2.033814557251913,1.911684513092041,0.31831663846969604,1.8981192111968994
11,14,377,3.268431557193018,2.870095729827881,0.40592795610427856,-2.4121294021606445
11,15,242,1.741494626882732,1.5471073389053345,0.5906805992126465,1.4658691883087158
22,13,219,1.9155029482020962,1.7649140357971191,0.39531993865966797,1.7595371007919312
22,14,377,3.4569858698910623,3.0032997131347656,0.3354073762893677,-2.71181058883667
22,15,242,1.5879618686210504,1.3765692710876465,0.6596716046333313,1.1889545917510986
33,13,219,2.0759593033008095,1.9274258613586426,0.28977227210998535,1.9206517934799194
33,14,377,3.230477015935616,2.845024824142456,0.41964513063430786,-2.445326328277588
33,15,242,1.879491195511955,1.6334902048110962,0.5232412815093994,1.5286847352981567
44,13,219,1.8262633928020668,1.6881903409957886,0.45034927129745483,1.6765919923782349
44,14,377,3.4305163101099905,3.0409226417541504,0.34554576873779297,-2.566028356552124
44,15,242,1.7195596348570148,1.4882361888885498,0.6009268760681152,1.378338098526001
55,13,219,2.1869197620870513,2.0532848834991455,0.21181952953338623,2.042698621749878
55,14,377,3.192290651631237,2.7855823040008545,0.4332844018936157,-2.5127675533294678
55,15,242,1.844299169963883,1.6410013437271118,0.5409280061721802,1.5109575986862183
66,13,219,2.344648875483107,2.225414276123047,0.09402620792388916,2.220364570617676
66,14,377,3.0453722255559335,2.683972120285034,0.4842478036880493,-2.2390522956848145
66,15,242,2.11808639531709,1.8857163190841675,0.39451223611831665,1.8075623512268066
77,13,219,2.365394744350368,2.241170644760132,0.07792288064956665,2.241170644760132
77,14,377,3.028671741238115,2.6574482917785645,0.48988890647888184,-2.199309825897217
77,15,242,1.980108164327834,1.737912654876709,0.47082918882369995,1.6505802869796753
88,13,219,1.9579136243126674,1.8266347646713257,0.368247389793396,1.8115513324737549
88,14,377,3.387361564482049,2.967655897140503,0.3619077801704407,-2.660289764404297
88,15,242,1.6297086573513897,1.435289978981018,0.6415421962738037,1.2624880075454712
99,13,219,2.079892890813337,1.9459601640701294,0.2870781421661377,1.928303599357605
99,14,377,3.2179933417839934,2.817690372467041,0.4241218566894531,-2.4244847297668457
99,15,242,1.8651363966208685,1.60176420211792,0.5304960608482361,1.5235683917999268
101,13,219,1.801144246816272,1.6428431272506714,0.46536552906036377,1.628756046295166
101,14,377,3.511993295632743,3.0706751346588135,0.3140891194343567,-2.7937633991241455
101,15,242,1.4650253793646775,1.2469877004623413,0.7103267908096313,1.0460493564605713
202,13,219,1.9341232037321112,1.8002424240112305,0.3835068941116333,1.7931276559829712
202,14,377,3.3590618608598155,2.9398210048675537,0.372525155544281,-2.556847095489502
202,15,242,1.569594337634762,1.3641085624694824,0.6674990653991699,1.2768181562423706
303,13,219,2.2435232828937237,2.0869333744049072,0.17049092054367065,2.0869333744049072
303,14,377,3.2017302663252605,2.790395498275757,0.42992788553237915,-2.4353995323181152
303,15,242,1.9412327771426847,1.69546639919281,0.49140357971191406,1.539581060409546
404,13,219,2.0957509059383015,1.9362866878509521,0.2761654853820801,1.9355833530426025
404,14,377,3.3098862610605257,2.8431496620178223,0.39076268672943115,-2.526745319366455
404,15,242,1.6653393785022348,1.4626069068908691,0.6256967782974243,1.3081347942352295
505,13,219,2.137908883054288,1.9789199829101562,0.24675136804580688,1.977683663368225
505,14,377,3.240644193351506,2.839046001434326,0.4159863591194153,-2.487368106842041
505,15,242,1.854346841637558,1.6006277799606323,0.5359123945236206,1.442525029182434
606,13,219,2.3205693677526122,2.1720800399780273,0.11253941059112549,2.140777349472046
606,14,377,3.1869036546740483,2.7342119216918945,0.4351954460144043,-2.505402088165283
606,15,242,1.9550604424072358,1.7561085224151611,0.48413217067718506,1.4332016706466675
