cycle,partition,n,ttf_min,ttf_max,exceeds_train_range
0,train,37,0.028495565056800842,1.4307972192764282,False
1,train,295,0.035796262323856354,11.490798950195312,False
2,train,363,0.033795904368162155,14.138099670410156,False
3,train,227,0.006397657096385956,8.811999320983887,False
4,train,324,0.036798302084207535,12.622696876525879,False
5,train,206,0.02769574336707592,8.015097618103027,False
6,train,180,0.033498361706733704,7.007998943328857,False
7,train,413,0.010297753848135471,16.063796997070312,False
8,train,202,0.006497379392385483,7.838596820831299,False
9,train,246,0.020695526152849197,9.566896438598633,False
10,val,292,0.031095607206225395,11.368998527526855,False
11,val,282,0.028796637430787086,10.977298736572266,False
12,val,226,0.012896685861051083,8.780195236206055,False
13,test,219,0.0072983005084097385,8.502195358276367,False
14,test,377,0.03039931133389473,14.681596755981445,False
15,test,242,0.021899640560150146,9.412697792053223,False
