model,n_params,lr,ttf_weight,composite_score,val_pr_auc,val_r2,val_loss,best_epoch,train_seconds
Single AE,361570,0.001,0.25,1.3523911040903598,0.7545047801615268,0.597886323928833,0.06288877112790942,8,50.3
Single AE,361570,0.001,1.0,1.4011250219328986,0.7812405905707464,0.6198844313621521,0.06495875178836286,7,48.1
Single AE,361570,0.001,4.0,1.3034640326455615,0.7640307917550586,0.5394332408905029,0.12123773668892682,7,48.4
Single AE,361570,0.0003,0.25,1.2696681111139225,0.731320390014069,0.5383477210998535,0.062195717357099056,2,36.5
Single AE,361570,0.0003,1.0,1.304728814674732,0.7530948606265754,0.5516339540481567,0.07937495611608028,8,48.2
Single AE,361570,0.0003,4.0,1.385721511380273,0.7708014912768185,0.6149200201034546,0.11199818732216954,7,48.3
Ours w/o Attention,374210,0.001,0.25,1.7725306645904442,0.9221080438171286,0.8504226207733154,0.033801142702577634,8,49.4
Ours w/o Attention,374210,0.001,1.0,1.7714452404358867,0.917540218291569,0.8539050221443176,0.03798040981870145,8,48.8
Ours w/o Attention,374210,0.001,4.0,1.7747196868483628,0.9176729634825791,0.8570467233657837,0.05240528415190056,8,48.8
Ours w/o Attention,374210,0.0003,0.25,1.7720915032390598,0.9270462943080907,0.8450452089309692,0.03440316406777129,8,49.6
Ours w/o Attention,374210,0.0003,1.0,1.768128467970842,0.922780646258348,0.8453478217124939,0.03908173575997353,8,48.7
Ours w/o Attention,374210,0.0003,4.0,1.764578944909593,0.9196258847594464,0.8449530601501465,0.05625615946017206,8,49.2
Cross-Timescale Attn,432066,0.001,0.25,1.6985866771109968,0.9155611739524273,0.7830255031585693,0.03600014620926231,2,38.0
Cross-Timescale Attn,432066,0.001,1.0,1.7608827828747011,0.9203125118595339,0.8405702710151672,0.03777318418826326,8,50.8
Cross-Timescale Attn,432066,0.001,4.0,1.775962115409465,0.9207220684314681,0.8552400469779968,0.05229279096587561,7,50.8
Cross-Timescale Attn,432066,0.0003,0.25,1.7574739686285548,0.9210491410528713,0.8364248275756836,0.035110375716467385,7,50.8
Cross-Timescale Attn,432066,0.0003,1.0,1.765463767835795,0.9206907137128701,0.8447730541229248,0.038251540367491545,7,51.2
Cross-Timescale Attn,432066,0.0003,4.0,1.7620188755986184,0.9211631579396218,0.8408557176589966,0.05918364077224396,8,50.7
