model,seed,target_far,recall
Single AE,11,2.5,16.017316017316016
Single AE,11,5.0,22.943722943722943
Single AE,11,7.5,33.33333333333333
Single AE,11,10.0,40.692640692640694
Single AE,11,12.5,46.75324675324675
Single AE,11,15.0,54.54545454545454
Single AE,11,17.5,60.17316017316018
Single AE,11,20.0,62.77056277056276
Single AE,22,2.5,14.71861471861472
Single AE,22,5.0,25.108225108225106
Single AE,22,7.5,35.93073593073593
Single AE,22,10.0,42.857142857142854
Single AE,22,12.5,47.61904761904761
Single AE,22,15.0,53.246753246753244
Single AE,22,17.5,61.904761904761905
Single AE,22,20.0,65.80086580086581
Single AE,33,2.5,13.852813852813853
Single AE,33,5.0,23.376623376623375
Single AE,33,7.5,33.33333333333333
Single AE,33,10.0,40.25974025974026
Single AE,33,12.5,45.02164502164502
Single AE,33,15.0,54.97835497835498
Single AE,33,17.5,62.33766233766234
Single AE,33,20.0,66.23376623376623
Single AE,44,2.5,5.627705627705628
Single AE,44,5.0,13.852813852813853
Single AE,44,7.5,21.645021645021643
Single AE,44,10.0,31.16883116883117
Single AE,44,12.5,35.064935064935064
Single AE,44,15.0,45.45454545454545
Single AE,44,17.5,53.246753246753244
Single AE,44,20.0,56.709956709956714
Single AE,55,2.5,16.017316017316016
Single AE,55,5.0,25.108225108225106
Single AE,55,7.5,33.76623376623377
Single AE,55,10.0,41.99134199134199
Single AE,55,12.5,50.21645021645021
Single AE,55,15.0,57.14285714285714
Single AE,55,17.5,61.471861471861466
Single AE,55,20.0,67.53246753246754
Single AE,66,2.5,16.883116883116884
Single AE,66,5.0,24.675324675324674
Single AE,66,7.5,33.33333333333333
Single AE,66,10.0,41.125541125541126
Single AE,66,12.5,46.320346320346324
Single AE,66,15.0,54.54545454545454
Single AE,66,17.5,60.17316017316018
Single AE,66,20.0,62.33766233766234
Single AE,77,2.5,14.71861471861472
Single AE,77,5.0,27.705627705627705
Single AE,77,7.5,32.467532467532465
Single AE,77,10.0,39.39393939393939
Single AE,77,12.5,44.58874458874459
Single AE,77,15.0,53.246753246753244
Single AE,77,17.5,60.17316017316018
Single AE,77,20.0,64.93506493506493
Single AE,88,2.5,10.38961038961039
Single AE,88,5.0,20.77922077922078
Single AE,88,7.5,30.735930735930733
Single AE,88,10.0,41.125541125541126
Single AE,88,12.5,48.05194805194805
Single AE,88,15.0,52.81385281385281
Single AE,88,17.5,59.74025974025974
Single AE,88,20.0,65.36796536796537
Single AE,99,2.5,15.151515151515152
Single AE,99,5.0,25.97402597402597
Single AE,99,7.5,35.064935064935064
Single AE,99,10.0,41.55844155844156
Single AE,99,12.5,50.21645021645021
Single AE,99,15.0,58.00865800865801
Single AE,99,17.5,62.77056277056276
Single AE,99,20.0,64.93506493506493
Single AE,101,2.5,14.285714285714285
Single AE,101,5.0,26.406926406926406
Single AE,101,7.5,36.79653679653679
Single AE,101,10.0,41.55844155844156
Single AE,101,12.5,48.917748917748916
Single AE,101,15.0,53.246753246753244
Single AE,101,17.5,61.038961038961034
Single AE,101,20.0,64.06926406926407
Single AE,202,2.5,17.74891774891775
Single AE,202,5.0,25.97402597402597
Single AE,202,7.5,33.76623376623377
Single AE,202,10.0,46.320346320346324
Single AE,202,12.5,50.649350649350644
