seed,fold,model,n_params,lr,ttf_weight,best_epoch,best_val_loss,best_select_score,early_stop_metric,ae_key,label_threshold,ttf_scale,train_seconds,pr_auc,roc_auc,baseline_pr_auc,pr_auc_headroom,far_fixed,recall_fixed,precision_fixed,f1_fixed,threshold_used,far_overshoot,far_drift_vs_selection,far_selection_target,far_05,recall_05,recall_at_far_oracle,rmse,mae,r2,bias,cyc_bias_std_across_cycles,cyc_bias_range,cyc_pooled_rmse,threshold_std,n_positive,n_negative,pr_auc_ci_lo,pr_auc_ci_hi,recall_at_far2p5,recall_at_far5,recall_at_far7p5,recall_at_far10,recall_at_far12p5,recall_at_far15,recall_at_far17p5,recall_at_far20
11,0,Single AE,361570,0.001,1.0,13,0.06539388022385538,1.4124680897386848,composite,X_ae,3.0,16.063796997070312,91.2,0.5858883584322919,0.8086537295762998,0.2756563245823389,0.4282939775391444,12.355848434925864,46.32034632034632,58.79120879120879,51.81598062953995,0.5390711426734924,-2.644151565074136,3.355848434925864,9.0,22.899505766062603,70.12987012987013,54.54545454545454,2.9411368075669646,2.3482091426849365,0.37619179487228394,-0.14183266460895538,2.271513467339182,4.1699453592300415,2.9411368512909037,0.003967728354914468,231,607,0.5139070104692054,0.6518384529167272,16.017316017316016,22.943722943722943,33.33333333333333,40.692640692640694,46.75324675324675,54.54545454545454,60.17316017316018,62.77056277056276
11,0,Ours w/o Attention,374210,0.001,4.0,8,0.05393422483466566,1.7784248207953643,composite,X_ae,3.0,16.063796997070312,79.7,0.7332320818087701,0.893215515950277,0.2756563245823389,0.6317108477030466,15.650741350906095,79.65367965367966,65.94982078853046,72.15686274509804,0.5275061726570129,0.6507413509060953,6.650741350906095,9.0,19.769357495881383,86.14718614718615,74.45887445887446,2.6165101954172028,2.2269015312194824,0.5062973499298096,-0.24714317917823792,2.399432829350437,4.328221559524536,2.616510117616541,0.007607344660637263,231,607,0.6745936713897248,0.7769981313750072,28.13852813852814,32.467532467532465,40.692640692640694,51.082251082251084,57.57575757575758,74.45887445887446,83.98268398268398,86.58008658008657
11,0,Cross-Timescale Attn,432066,0.001,4.0,8,0.05535228995373473,1.768489328361932,composite,X_ae,3.0,16.063796997070312,82.8,0.7367462392471069,0.8941283867148776,0.2756563245823389,0.6365623533592679,15.980230642504118,80.51948051948052,65.7243816254417,72.37354085603113,0.5197412967681885,0.9802306425041181,6.980230642504118,9.0,19.934102141680395,86.58008658008659,77.05627705627705,2.6005248787072563,2.2375714778900146,0.5123113393783569,-0.16580455005168915,2.373603317704955,4.310248613357544,2.6005248974154207,0.00594067084264153,231,607,0.6789029712770325,0.7831672248718126,29.87012987012987,33.76623376623377,39.82683982683983,50.649350649350644,59.307359307359306,77.05627705627705,84.4155844155844,86.58008658008657
22,0,Single AE,361570,0.001,1.0,10,0.06642865556292236,1.4308787666598146,composite,X_ae,3.0,16.063796997070312,90.7,0.5959410551848054,0.8188949984666624,0.2756563245823389,0.4421723298926968,15.156507413509061,54.54545454545455,57.79816513761468,56.12472160356348,0.5984354019165039,0.15650741350906117,6.156507413509061,9.0,36.24382207578254,89.17748917748918,53.246753246753244,3.0015302569967526,2.2815983295440674,0.35031014680862427,-0.6746084690093994,2.3049212302218955,4.240188241004944,3.0015304299374503,0.006933664246483013,231,607,0.5335732604779976,0.6649203668878878,14.71861471861472,25.108225108225106,35.93073593073593,42.857142857142854,47.61904761904761,53.246753246753244,61.904761904761905,65.80086580086581
22,0,Ours w/o Attention,374210,0.001,4.0,8,0.05216833733953535,1.7751010256571895,composite,X_ae,3.0,16.063796997070312,79.9,0.7327115826027554,0.8942282319547559,0.2756563245823389,0.6309922672505914,16.14497528830313,80.95238095238095,65.6140350877193,72.48062015503876,0.5219693183898926,1.1449752883031294,7.1449752883031294,9.0,19.43986820428336,86.58008658008659,76.19047619047619,2.617937396210944,2.245426893234253,0.5057585835456848,-0.1838807463645935,2.431313617055424,4.440034031867981,2.6179372761230835,0.009283216137134167,231,607,0.6815265733462245,0.781461377790383,28.13852813852814,31.601731601731604,38.52813852813853,50.649350649350644,62.77056277056276,76.19047619047619,83.54978354978356,86.58008658008657
22,0,Cross-Timescale Attn,432066,0.001,4.0,3,0.0631381520209834,1.769629801070904,composite,X_ae,3.0,16.063796997070312,50.8,0.7367108839502146,0.8936148969097898,0.2756563245823389,0.6365135432459305,16.474464579901152,81.38528138528139,65.27777777777777,72.44701348747591,0.5780500173568726,1.4744645799011522,7.474464579901152,9.0,34.266886326194395,96.96969696969697,74.45887445887446,2.657724128523305,2.209892511367798,0.49062174558639526,-0.41681021451950073,2.433601020273464,4.471347689628601,2.657723955584221,0.003437191762261372,231,607,0.685122820241253,0.7850320706978522,29.004329004329005,32.900432900432904,38.52813852813853,51.94805194805194,61.904761904761905,74.45887445887446,84.4155844155844,86.58008658008657
33,0,Single AE,361570,0.001,1.0,10,0.07013373765163124,1.4230353911403264,composite,X_ae,3.0,16.063796997070312,90.7,0.5862991475231629,0.8117489320125233,0.2756563245823389,0.42886109658057747,14.827018121911038,52.81385281385281,57.54716981132076,55.07900677200902,0.6080511212348938,-0.1729818780889616,5.827018121911038,9.0,41.35090609555189,90.47619047619048,54.97835497835498,3.087144987259795,2.325732946395874,0.3127184510231018,-0.8457635641098022,2.339410355568808,4.310325622558594,3.0871448942250055,0.0027616537756916613,231,607,0.5231347254269748,0.6541632913078068,13.852813852813853,23.376623376623375,33.33333333333333,40.25974025974026,45.02164502164502,54.97835497835498,62.33766233766234,66.23376623376623
33,0,Ours w/o Attention,374210,0.001,4.0,9,0.052376940292306245,1.7856614286824934,composite,X_ae,3.0,16.063796997070312,85.8,0.7371324867299772,0.8947203263512984,0.2756563245823389,0.637095591235125,15.321252059308073,79.22077922077922,66.30434782608695,72.18934911242604,0.5164592266082764,0.32125205930807255,6.3212520593080725,9.0,17.957166392092258,83.98268398268398,77.92207792207793,2.649361148338167,2.284945011138916,0.4938223361968994,-0.13376282155513763,2.4576546330140983,4.418396949768066,2.6493612560481203,0.00757439036514159,231,607,0.684644560538757,0.7872181493757516,27.27272727272727,32.03463203463203,44.58874458874459,51.515151515151516,61.471861471861466,77.92207792207793,83.98268398268398,86.58008658008657
33,0,Cross-Timescale Attn,432066,0.001,4.0,9,0.055642318546306344,1.7822192262860055,composite,X_ae,3.0,16.063796997070312,89.3,0.735727414237547,0.8941069913063323,0.2756563245823389,0.635155804169793,16.474464579901152,80.95238095238095,65.15679442508711,72.2007722007722,0.528423547744751,1.4744645799011522,7.474464579901152,9.0,24.382207578253706,89.6103896103896,77.48917748917748,2.615592721172495,2.255352258682251,0.5066434741020203,-0.15671072900295258,2.415511231871606,4.365978121757507,2.6155928040584455,0.004079992442977403,231,607,0.6820290363985108,0.7867868949688455,26.83982683982684,32.900432900432904,43.722943722943725,50.649350649350644,62.77056277056276,77.48917748917748,83.98268398268398,86.14718614718615
44,0,Single AE,361570,0.001,1.0,4,0.07099650787189603,1.270274285765205,composite,X_ae,3.0,16.063796997070312,54.5,0.4997671697664454,0.7774948829314563,0.2756563245823389,0.30939849796421953,12.685337726523889,36.36363636363637,52.17391304347826,42.85714285714286,0.5717377066612244,-2.3146622734761113,3.6853377265238887,9.0,28.99505766062603,75.32467532467533,45.45454545454545,3.0505144342050663,2.340590238571167,0.32893162965774536,-0.5416221618652344,2.2254354423593896,4.12571907043457,3.0505144143394247,0.002227365554951001,231,607,0.44114060933031274,0.571535680457652,5.627705627705628,13.852813852813853,21.645021645021643,31.16883116883117,35.064935064935064,45.45454545454545,53.246753246753244,56.709956709956714
