metric,higher_is_better,baseline,baseline_label,proposed_mean,proposed_std,baseline_mean,baseline_std,baseline_deterministic_observed,baseline_deterministic_nominal,baseline_variance_source,test_used,mean_improvement,pct_improvement,t_stat,p_ttest,p_rank,effect_size_name,effect_size,effect_label,n_seeds,wins,p_ttest_holm,significant_holm,rank_test_p_floor,rank_test_underpowered
pr_auc,True,Single AE,Spectrogram-only,0.7358620377945876,0.006170276385367724,0.5874892275791311,0.026650544236510986,False,False,init_and_shuffle,paired,0.14837281021545642,25.255409503737926,23.611191291556178,1.1211877671793194e-12,6.103515625e-05,d_z,6.096383377087644,large,15,15,1.7117442927944037e-11,True,6.103515625e-05,False
pr_auc,True,LogReg/Ridge,Logistic / Ridge,0.7358620377945876,0.006170276385367724,0.7260511188160609,0.004243923123455566,False,False,train_bootstrap,welch,0.009810918978526869,1.351271105335544,5.073865475996672,3.139701186625987e-05,0.00013564226281566485,hedges_g,1.8026403729405822,,15,13,6.441645971091108e-05,True,6.103515625e-05,False
pr_auc,True,GradientBoosting,Gradient boosting,0.7358620377945876,0.006170276385367724,0.6907878600905287,0.02834038969075589,False,False,train_bootstrap,welch,0.04507417770405888,6.525039061652277,6.018813741825014,2.1472153236970358e-05,4.8063230506309336e-05,hedges_g,2.138361117288412,,15,14,6.441645971091108e-05,True,6.103515625e-05,False
roc_auc,True,Single AE,Spectrogram-only,0.8940915390668274,0.001649303157421229,0.8109796482119381,0.011104689343057233,False,False,init_and_shuffle,paired,0.08311189085488918,10.248332499851964,30.432649410082988,3.423768841154343e-14,6.103515625e-05,d_z,7.857676289748025,large,15,15,7.18991456642412e-13,True,6.103515625e-05,False
roc_auc,True,LogReg/Ridge,Logistic / Ridge,0.8940915390668274,0.001649303157421229,0.8817994014040142,0.0038546119346246767,False,False,train_bootstrap,welch,0.012292137662813096,1.3939834437675247,11.354955153177125,6.711853380034158e-10,3.3918213908250945e-06,hedges_g,4.034182752554361,,15,15,6.040668042030742e-09,True,6.103515625e-05,False
roc_auc,True,GradientBoosting,Gradient boosting,0.8940915390668274,0.001649303157421229,0.8753004271949908,0.008049826623106921,False,False,train_bootstrap,welch,0.018791111871836737,2.146818542298122,8.856908981716977,2.1993105967663818e-07,3.3918213908250945e-06,hedges_g,3.1466781658744862,,15,15,1.0996552983831908e-06,True,6.103515625e-05,False
recall_fixed,True,Single AE,Spectrogram-only,80.98124098124097,0.9323046518234415,50.476190476190474,4.54854564036838,False,False,init_and_shuffle,paired,30.505050505050505,60.43453401943968,25.020191957759593,5.068900732493092e-13,0.0006533107814151376,d_z,6.460185784754376,large,15,15,8.617131245238257e-12,True,6.103515625e-05,False
recall_fixed,True,LogReg/Ridge,Logistic / Ridge,80.98124098124097,0.9323046518234415,75.95959595959597,1.4062523161948781,False,False,train_bootstrap,welch,5.021645021645019,6.610942249240116,11.527043301416295,2.4211979185546697e-11,3.019367784905813e-06,hedges_g,4.0953221432591524,,15,15,2.6633177104101365e-10,True,6.103515625e-05,False
recall_fixed,True,GradientBoosting,Gradient boosting,80.98124098124097,0.9323046518234415,61.93362193362193,4.039373193585272,False,False,train_bootstrap,welch,19.047619047619044,30.754892823858338,17.795179053582753,9.987317301882585e-12,3.09731188964829e-06,hedges_g,6.322262258912893,,15,15,1.298351249244736e-10,True,6.103515625e-05,False
precision_fixed,True,Single AE,Spectrogram-only,65.43020744257892,0.7214334074267167,58.43282247431527,2.055972337502273,False,False,init_and_shuffle,paired,6.997384968263636,11.97509323007528,12.932991815212317,3.556965056074262e-09,6.103515625e-05,d_z,3.3392841277969425,large,15,15,2.8455720448594095e-08,True,6.103515625e-05,False
